id	name	description	price	price_sale	material
54	Valentino	Сумка украсит ваш поход в театр	6000	5000	1
55	Fendi	Великолепный выбор для повседневного использования	7200		2
56	Mochino	Подходит к вечернему платью	5000		2
57	Arcadia	Прекрасная сумка для деволой встречи	2000		2
58	Bottega Veneta	Сумка украсит ваш поход в театр	1500		2
59	Marino Orlandi	Великолепный выбор для повседневного использования	3000		2
60	Louis Vuitton	Подходит к вечернему платью	8000	7000	2
61	Dolce&Gabbana	Прекрасная сумка для деволой встречи	9000		2
62	Gucci	Сумка украсит ваш поход в театр	5000		2
63	Prada	Великолепный выбор для повседневного использования	4000	2000	2
64	Valentino	Подходит к вечернему платью	2000		3
65	Fendi	Прекрасная сумка для деволой встречи	5600		3
66	Mochino	Сумка украсит ваш поход в театр	9800		3
67	Arcadia	Великолепный выбор для повседневного использования	12000	9000	3
68	Bottega Veneta	Подходит к вечернему платью	15000		3
69	Marino Orlandi	Прекрасная сумка для деволой встречи	3000		3
70	Louis Vuitton	Сумка украсит ваш поход в театр	8000		3
71	Dolce&Gabbana	Великолепный выбор для повседневного использования	7500	6000	3
72	Gucci	Подходит к вечернему платью	6000		1
73	Prada	Прекрасная сумка для деволой встречи	6000	5000	1
74	Valentino	Сумка украсит ваш поход в театр	7200		1
75	Fendi	Великолепный выбор для повседневного использования	5000		1
76	Mochino	Подходит к вечернему платью	2000		1
77	Arcadia	Прекрасная сумка для деволой встречи	1500		1
78	Bottega Veneta	Сумка украсит ваш поход в театр	3000		1
79	Marino Orlandi	Великолепный выбор для повседневного использования	8000		1
80	Louis Vuitton	Подходит к вечернему платью	9000		2
81	Dolce&Gabbana	Прекрасная сумка для деволой встречи	5000		2
82	Gucci	Сумка украсит ваш поход в театр	4000		2
83	Prada	Великолепный выбор для повседневного использования	2000		2
84	Valentino	Подходит к вечернему платью	5600		2
85	Fendi	Прекрасная сумка для деволой встречи	9800	7200	2
86	Mochino	Сумка украсит ваш поход в театр	12000		2
87	Arcadia	Великолепный выбор для повседневного использования	15000		1
88	Bottega Veneta	Подходит к вечернему платью	3000		1
89	Marino Orlandi	Прекрасная сумка для деволой встречи	8000		3
90	Louis Vuitton	Сумка украсит ваш поход в театр	7500		3
91	Dolce&Gabbana	Великолепный выбор для повседневного использования	6000		3
92	Gucci	Подходит к вечернему платью	6000	3000	1
93	Prada	Прекрасная сумка для деволой встречи	7200		1
94	Valentino	Сумка украсит ваш поход в театр	5000		1
95	Fendi	Великолепный выбор для повседневного использования	2000		1
96	Mochino	Подходит к вечернему платью	1500		1
97	Arcadia	Прекрасная сумка для деволой встречи	3000		1
98	Bottega Veneta	Сумка украсит ваш поход в театр	8000		2
99	Marino Orlandi	Великолепный выбор для повседневного использования	9000		2
100	Louis Vuitton	Подходит к вечернему платью	5000	4200	2
101	Dolce&Gabbana	Прекрасная сумка для деволой встречи	4000		2
102	Gucci	Сумка украсит ваш поход в театр	2000		2
103	Prada	Великолепный выбор для повседневного использования	5600		2
104	Valentino	Подходит к вечернему платью	9800	7800	1
105	Fendi	Прекрасная сумка для деволой встречи	12000		3
106	Mochino	Сумка украсит ваш поход в театр	15000		1
107	Arcadia	Великолепный выбор для повседневного использования	3000		3
108	Bottega Veneta	Подходит к вечернему платью	8000	7500	1
109	Marino Orlandi	Прекрасная сумка для деволой встречи	7500		3
110	Louis Vuitton	Сумка украсит ваш поход в театр	6000		1
111	Dolce&Gabbana	Великолепный выбор для повседневного использования	6000		2
112	Gucci	Подходит к вечернему платью	7200	6000	1
113	Prada	Прекрасная сумка для деволой встречи	5000		2
114	Valentino	Сумка украсит ваш поход в театр	2000		1
115	Fendi	Великолепный выбор для повседневного использования	1500		1
116	Mochino	Подходит к вечернему платью	3000		1
117	Arcadia	Прекрасная сумка для деволой встречи	8000		1
118	Bottega Veneta	Сумка украсит ваш поход в театр	9000		1
119	Marino Orlandi	Великолепный выбор для повседневного использования	5000		1
120	Louis Vuitton	Подходит к вечернему платью	4000	3500	2
121	Dolce&Gabbana	Прекрасная сумка для деволой встречи	2000		2
122	Gucci	Сумка украсит ваш поход в театр	5600		3
123	Prada	Великолепный выбор для повседневного использования	9800		3
124	Valentino	Подходит к вечернему платью	12000	4000	3
